date,station,site,location,country,latitude,longitude,exposure,orientation,geology,reef_geomorphology,reeftype_old,reef_type
2011-03-27,utumb12,utumbi,mafia,tanzania,-7.947616667,39.78738333,1,west,continental_fringing_reef,lagoon-exposed_fringing_reef,lagoonal reef,shallow_lagoonal_terrace
2011-03-27,utumb13,utumbi,mafia,tanzania,-7.949133333,39.78851667,1,west,continental_fringing_reef,lagoon-exposed_fringing_reef,lagoonal reef,shallow_lagoonal_terrace
2011-10-09,va1,vamizinr,vamizi,mozambique,-10.99563333,40.68433333,3,north,continental_island,ocean-exposed_fringing_reef,Fringing,deep_terrace
2011-10-09,va2,vamizinu,vamizi,mozambique,-11.02225,40.64453333,2,north,continental_island,coastal_barrier_reef_complex,Fringing,deep_terrace
2011-10-10,va3,vamizinr,vamizi,mozambique,-10.98935,40.68725,3,north,continental_island,ocean-exposed_fringing_reef,Fringing,deep_terrace
2011-10-10,va4,vamizinu,vamizi,mozambique,-11.00726667,40.62273333,2,north,continental_island,coastal_barrier_reef_complex,Fringing,deep_terrace
2011-10-11,va5,vamizine,vamizi,mozambique,-10.99421667,40.71341667,4,ne,continental_island,ocean-exposed_fringing_reef,Fringing,forereef
2011-10-11,va6,vamizine,vamizi,mozambique,-10.99596667,40.72005,4,ne,continental_island,ocean-exposed_fringing_reef,Fringing,forereef
2011-10-12,va7,neptunes,vamizi,mozambique,-11.09933333,40.71855,5,360,continental_island,coastal_barrier_reef_complex,Submerged reef,deep_terrace
2011-10-12,va8,vamizine,vamizi,mozambique,-10.99668333,40.724850000000004,4,ne,continental_island,ocean-exposed_fringing_reef,Fringing,forereef
2015-03-07,vamizine-5,vamizine,vamizi,mozambique,-10.994217,40.71341702,4,north,continental_island,coastal_barrier_reef_complex,Fore reef slope,forereef
2015-03-07,vamizinr-3,vamizinr,vamizi,mozambique,-10.99069501,40.68838497,3,ene,continental_island,ocean-exposed_fringing_reef,Fore reef slope,deep_terrace
2010-04-04,vohe13,vohem,vohemar_n,madagascar,-13.32646667,50.01341667,5,ese,continental_outer_shelf_barrier,coastal_barrier_reef_complex,Fringing,forereef
2010-04-05,vohe15,vohem,vohemar_n,madagascar,-13.33491667,50.01501667,5,ese,continental_outer_shelf_barrier,coastal_barrier_reef_complex,Fringing,forereef
2014-04-03,yeye,pbisdela_passe,peros_banhos,chagos,-5.25245,71.97558333,5,ene,atoll,atoll_rim,Terrace&Wall,forereef
2011-03-28,yuyun10,yuyuni,mafia,tanzania,-7.98175,39.81338333,5,se,continental_fringing_reef,ocean-exposed_fringing_reef,Fringing,forereef
2011-03-28,yuyun11,yuyuni,mafia,tanzania,-7.984416667,39.81223333,5,se,continental_fringing_reef,ocean-exposed_fringing_reef,Fringing,forereef
