date,station,site,location,country,latitude,longitude,rugosity,viz,temp,max_depth_m,min_depth_m,div_maxd,habitat
2022-11-21,kitout_02,kitutia_outer,mafia,tanzania,-8.13405,39.64901,2.5,22,26,13,99,NA,"Scattered boulders on sand and rubble on slope of 20 degrees to 13m, dominated by macro algae, mainly Lobophora, Milipora also abundant, and dead coral and hydroids. "
2022-11-21,kitout_01,kitutia_outer,mafia,tanzania,-8.13151,39.64531,2,20,27,12,8,13,Reef plateau at 4-2m. High live coral cover. Coral and sand patch slope to 10-15m. Some patches of soft corals and dead hard corals.
2023-02-16,ktw_01,kitwani,kizingitini,kenya,-2.10469,41.17887,2,7,27,4.3,2.9,NA,NA
2019-11-16,kug_02,kokota_uvinje_gap,pemba_is,tanzania,-5.13836,39.63672,NA,9,27,12,6,14.5,"Thin strip of scattered coral bommies on sand / rock base off wider sand flat in centre of Kokota island facing centre of channel between Kukota and Uvinje. Dominated by large vase sponges, some small black Tubastrea, soft corals very common. Low topography and large expanses of sand. Low fish density and diversity."
2019-11-16,kug_01,kokota_uvinje_gap,pemba_is,tanzania,-5.13608,39.64122,NA,9,27,14,2,17.5,"In the channel site is towards northern end of Kukota island. Several live coral heads – Acropora, Favites, Pocillopora, in 2- 3m on sand very close to coral cliff of Kukota island. Reef edge at 4m and drops steeply at 80 degrees. High cover of live encrusting corals on wall, many hydroids, many unidentified small very thin spiky white coral (not hermatypic). Sea whips common. Undulating reef slope with large banks of Echinopora in the more gently sloping grooves. Walls carpeted with high cover and diversity of largely encrusting and small massive corals to ~17m. Sponges common. Reef ends at around 25m in channel of sand. Turbid, viz at 9m. Cold water at > 11m. Small acanthurid species,  pomacentrids and tobies common. Moderate diversity of small labrid species. "
2023-03-27,kui_01,kui,kiunga_marine_reserve,kenya,-1.826736,41.444974,3,15,28,4.3,NA,NA,NA
2020-11-25,kur_01,kuruwitu_tengefu,vipingo,kenya,-3.80801,39.83634,1,9,28,3,1.5,NA,NA
2020-11-25,kur_02,kuruwitu_tengefu,vipingo,kenya,-3.80468,39.83561,1,9,28,3.2,1.5,NA,NA
2022-10-27,lbb_01,lobster_bank,mombasa_marine_national_park,kenya,-3.99338,39.75605,2,10,26,16.4,7,16.4,"40 degree slope. Dominated by soft corals, followed by algae and a few live corals"
2022-10-27,lbb_02,lobster_bank,mombasa_marine_national_park,kenya,-3.99619,39.7544,2,10,26,14.5,7.5,15,"40 degree slope. Dominated by soft corals, followed by algae and a few live corals"
2021-03-24,lev_01,leven,mombasa_marine_national_reserve,kenya,-4.06152,39.72062,2,12,29,14,9,18.6,"Encrusting HC, Echinopora at 8m Filamentous algae. SC and HC at 16m slope from 12 to 17m of 30"
2021-03-24,lev_02,leven,mombasa_marine_national_reserve,kenya,-4.05775,39.72238,2,14,29,15,9,20,"Slope 0f 30 from 12-15m with SC and HC dominant at this depth. Medium topography at 13m. Habitat changes to filamentous algae and fleshy MA including halimeda  from 15m,. Some encrusting HC, Echinopora at 16m. Sand flat from 20m"
2021-04-14,lmp_01,lower_mpunguti,kisite_marine_national_reserve,kenya,-4.69086,39.39813,1.5,12,29,3.6,1.5,3.6,"Sheltered shallow reef with a narrow rich hard coral area going E to W, Sand and macroalgae  the edge."
2021-04-14,lmp_02,lower_mpunguti,kisite_marine_national_reserve,kenya,-4.68446,39.39701,1.5,12,28,3.7,1.8,4,"Sheltered shallow reef with a narrow rich hard coral area going E to W, Sand and macroalgae  the edge."
2023-02-19,mab_01,mabiyu,kizingitini,kenya,-2.09127,41.17648,1.5,6,28,3.7,1.8,NA,NA
2020-11-17,mar_01,marereni_tengefu,marereni,kenya,-2.87981,40.20876,1,8,28,5,2,NA,NA
2023-02-21,mat_01,manda_toto,lamu,kenya,-2.21796,40.97657,2.5,3,27,7.1,3.4,NA,NA
2022-10-28,mbcg_01,mombasa_coral_garden,mombasa_marine_national_park,kenya,-3.99084,39.75045,1,8,26,2.3,1.5,NA,Flat inner lagoon reef. Very shalow. Patches of live coral. Shallower to the north with more macroalgae
2022-04-02,mbo_01,mboe,msambweni,kenya,-4.53941,39.4878,2,14,30,8.5,3.8,14.5,"Mix of hard corals  macroalgae and soft corals, reef ending at 14.5m into a flat rubble substrate. Massive pachyseris coral colony"
2022-04-02,mbo_02,mboe,msambweni,kenya,-4.54421,39.48566,2,14,30,10.3,8.6,10.3,Hard corals and macroalgae on a slope of 30 ending at 14m. Massive plates of pachyseris at 13m. Sand  from 14m
2022-02-04,kanz_01,kanzoni,moheli,comoros,-12.400322,43.673695,3,16,29.5,20,7,20,50º slope with sand gullies. High LC monstly Acropora about 70% of LC. 70% LHC occasional bleaching. Lot of hydroids at 7-8m. Spur and coral ridges with sand and rubble gullies
2022-02-05,kanz_02,kanzoni,moheli,comoros,-12.407173,43.671539,3,15,29,16,12,16,"high live coral cover about 80%, lots of Acropora. High LC at 20-30m where it leads out to sand + coral patches. High CCA. Depleted fis"
2022-04-05,mek_01,mekka,msambweni,kenya,-4.482,39.52639,1.5,14,29,14,11.2,14,Forereef with a slope of about 10 dominated by soft corals and hard corals ending at 14m. Slope ends at 14m and a flat substrate with rubble and sand takes over
2022-04-05,mek_02,mekka,msambweni,kenya,-4.48421,39.52488,1,14,30,12.4,11.8,14.1,Forereef with reef ending at 13m with flat substrate dominated with rubble. Soft corals dominant with patches of hard corals areas and isolated big hard corals colonies
2021-11-19,mgd_01,magandia,waa,kenya,-4.18336,39.63314,3,13,26,14,9.3,18.8,Seagrass on the landward shallow at 7-8m. Hard corals and soft corals  at 11m on flat reef then dominated by macroalgae from 13m with isolated hard coral colonies at 15m. Macroalgae and sand pacthes from 18m  montipora. 
2019-11-12,man_01,mandela,pemba_is,tanzania,-4.9971,39.65572,NA,16,27,17,7,19.3,"Sand and scattered coral heads at 3- 4m, with some Diadema. Reef edge at ~ 5m, with forereef wall sloping 70-90 degrees with overhangs and ledges, very little live coral > 17m depth. Reef wall gives way to sand at ~ 20-25 m which slopes at 40 degrees beyond visibility. At 13-16m a zone of relatively high coral cover, mainly encrusting low topography forms, several genera, and also soft corals. Depleted  numbers, but some small schools of Lethrinus harak. Some very large Cheilinus trilobatus males. This species and Hologymnus species (fascistus and doliatus) relatively common compared to elsewhere. More parrotfishes but all small – including Chlorurus strongylocephalos. Chaetodons common and diverse"
2019-11-12,man_02,mandela,pemba_is,tanzania,-4.99211,39.65435,NA,15,27,16,9,19.8,"Reef plateau at 6-7m of sand, dead coral and many soft corals. Reef edge at 7m which then slopes at ~ 50 degrees to 16m, then 70 degrees to ~ 20m. This forereef comprises ledges, sand and rock with sponges and some live coral. High dead coral at ~ 15m with sponges abundant. Beyond 20m a 50 degree slope of largely sand and sponges disappearing into depths. Shallow areas are very dead and broken up – a mix of very old bleaching mortality and possibly ring net damage – coral pieces are large and loose suggesting some physical disturbance. Fish depleted. Lethrinus harak relatively abundant. Afew scarids but very low numbers and all small. "
2022-11-15,mgein_01,mange_inner,mafia,tanzania,-8.05631,39.60419,1,16.5,27,4,1.5,5.9,"Reef flat at ~ 3 m with several small coral heads, largely Acropora on old rubble and several large urchins (Echinometra mathae?). Wall of Galaxea at ~  7m – 10m at 60 degrees to sand bottom. "
2022-11-15,mgein_02,mange_inner,mafia,tanzania,-8.04771,39.59784,2,14,27,2.9,1,NA,"Shallow plateau at 1-2 m, short slope at ~4m to ~10m, ends on sand. Shallow plateau is largely dead reef of Acropora staghorn and plates, some live Acropora and small Pocillopora, large areas of sand. "
2022-11-22,mgeout_02,mange_outer,mafia,tanzania,-8.07903,39.60093,3,16,26,13,7,NA,"30 degree slope of sand with scattered dead coral and algae, Lobophora dominate and some Halimeda. Reef ends at 12-15m to gentle sand and rubble slope. Less than 10, almost entirely algae. "
2022-11-22,mgeout_01,mange_outer,mafia,tanzania,-8.07862,39.59646,2,21,27,14,6,14,"Rock and algae reef on sand, very dead. Occasional live Porites, other small massives, dead standing large Acropora plates, one live plate sighted. Turbinaria and brown algae Lobophora. "
2021-11-19,mgd_02,magandia,waa,kenya,-4.18005,39.63612,3,13,26,12,8.2,18.1,hard corals and soft corals from 7m with macroalgae (halimeda and sargassum) at 12m. Ruuble and sponges dominated at 17m
