date,station,site,country,latitude,longitude,closest_cell,cell_distance_km,chla_annual_mean
2019-11-15,fug_01,fundo_coral_garden,tanzania,-5.00175,39.65602,10464033,33.4466192642434,0.0466149649517741
2019-11-17,fug_02,fundo_coral_garden,tanzania,-5.00113,39.65659,10464033,33.5189928996673,0.0466149649517741
2019-11-13,fgi_01,fundo_gap_inner,tanzania,-5.0138,39.66669,10464034,32.0832227617014,0.0489825786573614
2019-11-13,fgi_02,fundo_gap_inner,tanzania,-5.00948,39.66764,10464034,32.5590562641597,0.0489825786573614
2019-11-14,fuo_01,fundo_outer,tanzania,-5.04223,39.64186,10464033,28.8957607759887,0.0466149649517741
2019-11-14,fuo_02,fundo_outer,tanzania,-5.04704,39.64025,10464033,28.3597466316614,0.0466149649517741
2019-11-16,kug_01,kokota_uvinje_gap,tanzania,-5.13608,39.64122,10464033,18.459926031295,0.0466149649517741
2019-11-16,kug_02,kokota_uvinje_gap,tanzania,-5.13836,39.63672,10464033,18.2075517259361,0.0466149649517741
2019-11-12,man_01,mandela,tanzania,-4.9971,39.65572,10464033,33.9611096769828,0.0466149649517741
2019-11-12,man_02,mandela,tanzania,-4.99211,39.65435,10464033,34.5075551638949,0.0466149649517741
2019-11-10,mis_01,misali,tanzania,-5.23994,39.59536,10464032,6.92910716217891,0.0468552337962998
2019-11-10,mis_02,misali,tanzania,-5.24336,39.59339,10464032,6.57063604115081,0.0468552337962998
2019-11-09,njc_01,njao_coral_garden,tanzania,-4.95431,39.6672,10464034,38.6916169412482,0.0489825786573614
2019-11-09,njc_02,njao_coral_garden,tanzania,-4.95802,39.6694,10464034,38.2719846922122,0.0489825786573614
2019-11-06,njg_01,njao_gap,tanzania,-4.95902,39.66761,10464034,38.1666883147946,0.0489825786573614
2019-11-07,par_01,paradise,tanzania,-4.91343,39.67091,10464034,43.2249326434333,0.0489825786573614
2019-11-05,scs_01,scorpions_secret,tanzania,-4.88761,39.67553,10318162,42.0400481933713,2.62803994284736
2019-11-05,scs_02,scorpions_secret,tanzania,-4.8825,39.67491,10318162,41.7149393660412,2.62803994284736
2019-11-08,shi_01,shimba,tanzania,-4.87537,39.67348,10318162,41.318077568953,2.62803994284736
2019-11-08,shi_02,shimba,tanzania,-4.87225,39.67199,10318162,41.2218422897165,2.62803994284736
2023-02-12,mwy_01,mwamba_yee,kenya,-2.23677,41.07044,9891143,46.6781187913028,0.0451049066564147
2023-02-17,pet_02,pethali,kenya,-2.20477,41.05257,9891143,50.2027788528859,0.0451049066564147
2023-02-17,pet_01,pethali,kenya,-2.20232,41.05655,9891143,50.4753540213059,0.0451049066564147
2023-02-10,pop_01,popo,kenya,-2.18108,41.04583,9891143,52.8451666056686,0.0451049066564147
2023-02-10,sag_01,sagafu,kenya,-2.17478,41.02607,9891142,53.5540661887299,0.0448799567217213
2020-11-25,kur_01,kuruwitu_tengefu,kenya,-3.80801,39.83634,10164284,13.3585446781716,0.0450417225559553
2020-11-25,kur_02,kuruwitu_tengefu,kenya,-3.80468,39.83561,10164284,13.7154111733851,0.0450417225559553
2021-02-15,vmn_01,vuma_north,kenya,-3.739983,39.856283,10164285,20.8093647423885,0.0484732514883899
2021-02-15,vmn_02,vuma_north,kenya,-3.736633,39.8565,10164285,21.1812949834847,0.0484732514883899
2021-02-16,vms_01,vuma_south,kenya,-3.762467,39.848483,10164285,18.3512574311917,0.0484732514883899
2021-02-16,vms_02,vuma_south,kenya,-3.758617,39.84935,10164285,18.7718348376804,0.0484732514883899
2021-11-18,ksm_02,kaya_similani,kenya,-4.15567,39.65119,10164280,25.439497826192,0.0407649382200941
2021-11-18,ksm_01,kaya_similani,kenya,-4.1511,39.65393,10164280,24.9208006591584,0.0407649382200941
2021-11-21,kkd_02,kikadini,kenya,-4.21481,39.61696,10164279,31.9965696544553,0.0394302135239545
2021-11-21,kkd_01,kikadini,kenya,-4.21028,39.61793,10164279,31.4916446870683,0.0394302135239545
2021-11-19,mgd_01,magandia,kenya,-4.18336,39.63314,10164279,28.5297821693311,0.0394302135239545
2021-11-19,mgd_02,magandia,kenya,-4.18005,39.63612,10164279,28.1802109524836,0.0394302135239545
2020-11-23,was_02,wasini_tengefu,kenya,-4.65436,39.36415,10318162,65.8696897266672,3.00263451285984
2020-11-23,was_01,wasini_tengefu,kenya,-4.65405,39.3628,10318162,66.0181574224308,3.00263451285984
2021-04-01,wcg_02,richard_bennet,kenya,-3.37821,39.9974,10078803,17.0436512016943,0.0361538383800184
2020-11-20,tur_02,turtle_reef,kenya,-3.37676,40.00369,10078803,17.2571673858264,0.0373708988317987
2020-11-20,tur_01,turtle_reef,kenya,-3.37573,40.00408,10078803,17.375334007662,0.0373708988317987
2021-04-01,wcg_01,watamu_coral_garden,kenya,-3.38165,39.99378,10078803,16.6437330381997,0.0361538383800184
2021-03-19,dol_01,dolphin,kenya,-3.37035,40.01969,10078804,17.9208099705476,0.0345109608710319
2021-03-19,dol_02,dolphin,kenya,-3.36778,40.02478,10078804,18.1829640614618,0.0345109608710319
2021-03-18,mor_02,moray,kenya,-3.38275,40.00785,10078803,16.6463938808799,0.0354552316944406
2021-03-18,mor_01,moray,kenya,-3.37962,40.0112,10078804,16.9752675083469,0.0345109608710319
2021-03-17,uyo_02,uyombo,kenya,-3.4253,39.97349,10078803,11.904055768599,0.0354552316944406
2021-03-17,uyo_01,uyombo,kenya,-3.42151,39.97653,10078803,12.2791010053342,0.0354552316944406
