"date","station","site","location","country","latitude","longitude","grav_tot","distance_to_grid_km"
"2021-03-31","mlcg_01","malindi_coral_garden","malindi_marine_national_park","kenya",-3.25604,40.14085,5086,0
"2021-03-30","nor_01","north_reef","malindi_marine_national_park","kenya",-3.24697,40.14929,5086,0
"2021-03-30","nor_02","north_reef","malindi_marine_national_park","kenya",-3.24513,40.14784,5086,0
"2020-11-17","mar_01","marereni_tengefu","marereni","kenya",-2.87981,40.20876,177,0
"2022-03-03","kny_01","kinyika_inner","lamu","kenya",-2.43039,40.8404,83,0
"2022-03-05","knyo_01","kinyika_outer","lamu","kenya",-2.430123,40.842049,83,0
"2023-02-12","mwy_01","mwamba_yee","shanga","kenya",-2.23677,41.07044,73,0
"2023-02-21","mat_01","manda_toto","lamu","kenya",-2.21796,40.97657,71,0
"2022-03-04","iwe_01","iweni","lamu","kenya",-2.214504,41.018066,68,0
"2023-02-17","pet_02","pethali","shanga","kenya",-2.20477,41.05257,68,0
"2023-02-17","pet_01","pethali","shanga","kenya",-2.20232,41.05655,68,0
"2023-02-19","mtb_01","mtanga_wa_bandari","pate","kenya",-2.18239,41.02393,68,0
"2023-02-10","pop_01","popo","shanga","kenya",-2.18108,41.04583,68,0
"2023-02-10","sag_01","sagafu","shanga","kenya",-2.17478,41.02607,68,0
"2023-02-11","chp_01","chipopo","pate","kenya",-2.16603,41.03939,68,0
"2023-02-11","jmi_01","jumba_idodi","pate","kenya",-2.16291,41.04219,68,0
"2023-02-18","kfc_01","kadhikia_fawachu","kizingitini","kenya",-2.15301,41.15146,64,0
"2023-02-18","chm_01","chambani","kizingitini","kenya",-2.15035,41.17268,57,0
"2023-02-16","ktw_01","kitwani","kizingitini","kenya",-2.10469,41.17887,61,0
"2023-02-19","mab_01","mabiyu","kizingitini","kenya",-2.09127,41.17648,61,0
"2023-02-15","sht_01","shimo_la_tewa","kiunga_marine_reserve","kenya",-2.04374,41.24154,53,0
"2023-03-22","ccc_01","chongo_cha_chano","mkokoni","kenya",-2.001709,41.329818,58,0
"2023-02-14","miko_02","mikes_outer","kiunga_marine_reserve","kenya",-1.99774,41.29116,58,0
"2023-02-14","miko_01","mikes_outer","kiunga_marine_reserve","kenya",-1.9938,41.29127,58,0
"2023-02-14","miki_01","mikes_inner","kiunga_marine_reserve","kenya",-1.99245,41.28386,58,0.252490746378772
"2023-02-13","mkcg_01","mkokoni_coral_garden","kiunga_marine_reserve","kenya",-1.96254,41.30585,76,0
"2023-03-20","mhd_01","muhindi","mkokoni","kenya",-1.905207,41.371677,57,0
"2023-03-20","cho_01","chole","mkokoni","kenya",-1.889727,41.381708,57,0
"2023-03-21","ccs_01","chongo_cha_sharifu","mkokoni","kenya",-1.879967,41.438103,54,0
"2023-03-27","kui_01","kui","kiunga","kenya",-1.826736,41.444974,62,0
"2023-03-25","mwm_01","mwamba_mkuu","kiunga","kenya",-1.778497,41.510267,109,0
"2023-03-24","ccb_01","chongo_cha_boso","kiunga_marine_reserve","kenya",-1.752606,41.540772,64,0
"2023-03-25","bos_01","boso","kiunga_marine_reserve","kenya",-1.744037,41.520901,64,0
"2023-03-26","mgl_01","magulugulu","kiunga","kenya",-1.726246,41.536928,64,0
"2023-03-24","kkr_01","kadhikia_kuru","kiunga_marine_reserve","kenya",-1.723652,41.537266,64,0
"2023-03-26","dzi_01","dhiwa_za_ishakani","kiunga_marine_reserve","kenya",-1.707995,41.545832,64,0
